control_name,norm_name,match_type,matched_razon,matched_ruc,raw_matches
CONSORCIO VIAL HUANDOY,CONSORCIO VIAL HUANDOY,exact, CONSORCIO VIAL HUANDOY,20613698966,"[(' CONSORCIO VIAL HUANDOY', '20613698966')]"
CONSTRUCTORA & BUSINESS H P SAC,CONSTRUCTORA BUSINESS H P SAC,exact,CONSTRUCTORA & BUSINESS H P SAC,20606167947,"[('CONSTRUCTORA & BUSINESS H P SAC', '20606167947')]"
CONSTRUCTORA CAYRA EIRL,CONSTRUCTORA CAYRA EIRL,exact,CONSTRUCTORA CAYRA E.I.R.L,20612588911,"[('CONSTRUCTORA CAYRA E.I.R.L', '20612588911')]"
CONSTRUCTORA HERNANDEZ ESPINOZA SAC,CONSTRUCTORA HERNANDEZ ESPINOZA SAC,exact,CONSTRUCTORA HERNANDEZ ESPINOZA SAC,20610070656,"[('CONSTRUCTORA HERNANDEZ ESPINOZA SAC', '20610070656')]"
CONSTRUCTORA LOAN SAC,CONSTRUCTORA LOAN SAC,exact,CONSTRUCTORA LOAN SAC,20609976862,"[('CONSTRUCTORA LOAN SAC', '20609976862'), ('CONSTRUCTORA LOAN SAC ', '20609976862')]"
CONSTRUCTORA VALLES DEL PERU SAC,CONSTRUCTORA VALLES DEL PERU SAC,partial,CONSTRUCTORA VALLES DEL PERé S.A.,20543329984,"[('CONSTRUCTORA VALLES DEL PERé S.A.', '20543329984'), ('CONSTRUCTORA VALLES DEL PERé S.A.', '20543329984')]"
CONSTRUCTORA VALLES DELPERU SOCIEDAD ANONIMA,CONSTRUCTORA VALLES DELPERU SOCIEDAD ANONIMA,none,,,[]
CONSULTORES DE INGENIERIA UG21 SOCIEDAD LIMITADA,CONSULTORES DE INGENIERIA UG21 SOCIEDAD LIMITADA,exact,CONSULTORES DE INGENIERIA UG21 SOCIEDAD LIMITADA,20538812111,"[('CONSULTORES DE INGENIERIA UG21 SOCIEDAD LIMITADA', '20538812111'), ('CONSULTORES DE INGENIERIA UG21 SOCIEDAD LIMITADA', '20538812111')]"
CORALMIX,CORALMIX,partial,CORALMIX SAC,20451547420,"[('CORALMIX SAC', '20451547420')]"
CORBUS EDIFICACIONES,CORBUS EDIFICACIONES,exact,CORBUS EDIFICACIONES,20600053982,"[('CORBUS EDIFICACIONES', '20600053982')]"
CORPORACION MINERO INMOVILIARIO PERUVIAN SAC,CORPORACION MINERO INMOVILIARIO PERUVIAN SAC,none,,,[]
COVECOP,COVECOP,partial,COVECOP SAC,20612211460,"[('COVECOP SAC', '20612211460'), ('COVECOP SAC', '20612211460')]"
DANIEL ALEJANDRO BENITES GONZALES,DANIEL ALEJANDRO BENITES GONZALES,exact,DANIEL ALEJANDRO BENITES GONZALES ,10726397355,"[('DANIEL ALEJANDRO BENITES GONZALES ', '10726397355')]"
DH MONT,DH MONT,none,,,[]
EDGAR POSAICO,EDGAR POSAICO,partial,EDGAR POSAICO QUISPE,,"[('EDGAR POSAICO QUISPE', '-')]"
EIE REPRESENTACIONES GENERALES,EIE REPRESENTACIONES GENERALES,partial,EIE REPRESENTACIONES GENERALES S.A.C.,20606676728,"[('EIE REPRESENTACIONES GENERALES S.A.C.', '20606676728')]"
EL ALISO SERVICIOS GENERALES SRL,EL ALISO SERVICIOS GENERALES SRL,exact,EL ALISO SERVICIOS GENERALES SRL,20453849008,"[('EL ALISO SERVICIOS GENERALES SRL', '20453849008')]"
ELVYS GARY BERRIO,ELVYS GARY BERRIO,none,,,[]
ENRIQUE ITURRY ESPEZUA,ENRIQUE ITURRY ESPEZUA,exact,ENRIQUE ITURRY ESPEZUA,10407944971,"[('ENRIQUE ITURRY ESPEZUA', '10407944971')]"
ERAA SOLUCIONES INTEGRALES SAC,ERAA SOLUCIONES INTEGRALES SAC,exact,ERAA SOLUCIONES INTEGRALES SAC,20602409806,"[('ERAA SOLUCIONES INTEGRALES SAC', '20602409806')]"
ESTANTERIAS METALICAS J.R.M. SAC,ESTANTERIAS METALICAS JRM SAC,exact,ESTANTERIAS METALICAS J.R.M. S.A.C,20475428634,"[('ESTANTERIAS METALICAS J.R.M. S.A.C', '20475428634')]"
EVG CONTRUCCION,EVG CONTRUCCION,none,,,[]
FLUJO LIBRE SAC,FLUJO LIBRE SAC,exact,FLUJO LIBRE S.A.C.,20553326819,"[('FLUJO LIBRE S.A.C.', '20553326819'), ('FLUJO LIBRE S.A.C.', '20553326819'), ('FLUJO LIBRE S.A.C.', '20553326819')]"
FONTANA MOV. DE TIERRA SAC,FONTANA MOV DE TIERRA SAC,none,,,[]
FUMISTAR,FUMISTAR,none,,,[]
GAMONT INGENIEROS SAC,GAMONT INGENIEROS SAC,exact,GAMONT INGENIEROS SAC,20600420764,"[('GAMONT INGENIEROS SAC', '20600420764')]"
GEOCONTROL,GEOCONTROL,partial,GEOCONTROL INGENIEROS S.A.C.,20523078306,"[('GEOCONTROL INGENIEROS S.A.C.', '20523078306')]"
GEOFAL ING.,GEOFAL ING,none,,,[]
GEOFAL LABORATORIO,GEOFAL LABORATORIO,none,,,[]
GEOGLOBE,GEOGLOBE,partial,GEOGLOBE INGENIERIA Y CONSTRUCCION SAC,20604159181,"[('GEOGLOBE INGENIERIA Y CONSTRUCCION SAC', '20604159181')]"
GEOSER,GEOSER,partial,GEOSERV-GEOTECNICA Y SERVICIOS E.I.R.L.,20393270668,"[('GEOSER ESTUDIOS', '-'), ('GEOSERV-GEOTECNICA Y SERVICIOS E.I.R.L.', '20393270668')]"
GERED,GERED,partial,CONSTRUCTORA GERED SAC,20541769537,"[('CONSTRUCTORA GERED SAC', '20541769537'), ('CONSTRUCTORA GERED S.A.C.', '20541769537')]"
GOLDEN TOWER,GOLDEN TOWER,partial,GOLDEN TOWER CONSTRUCTION,20601780764,"[('GOLDEN TOWER CONSTRUCTION', '20601780764'), ('GOLDEN TOWER CONSTRUCTION', '20601780764')]"
GROUP TOTAL QUALITY CONTROL,GROUP TOTAL QUALITY CONTROL,none,,,[]
GRUPO CONSTRUCTOR EN CRECIMIENTO,GRUPO CONSTRUCTOR EN CRECIMIENTO,exact,GRUPO CONSTRUCTOR EN CRECIMIENTO,20608095137,"[('GRUPO CONSTRUCTOR EN CRECIMIENTO', '20608095137'), ('GRUPO CONSTRUCTOR EN CRECIMIENTO', '20608095137'), ('GRUPO CONSTRUCTOR EN CRECIMIENTO', '20608095137'), ('GRUPO CONSTRUCTOR EN CRECIMIENTO', '20608095137'), ('GRUPO CONSTRUCTOR EN CRECIMIENTO', '20608095137')]"
GRUPO INMOBILIARIO MAYER,GRUPO INMOBILIARIO MAYER,partial,GRUPO INMOBILIARIO MAYER S.A.C,20601322324,"[('GRUPO INMOBILIARIO MAYER S.A.C', '20601322324')]"
GRUPO VALENTINUS SAC,GRUPO VALENTINUS SAC,exact,GRUPO VALENTINUS SAC,20602443770,"[('GRUPO VALENTINUS SAC', '20602443770')]"
GRUPO VENTI,GRUPO VENTI,none,,,[]
HAUG,HAUG,exact,HAUG,20109925757,"[('HAUG', '20109925757'), ('HAUG', '20109925757'), ('HAUG', '20109925757'), ('HAUG', '20109925757')]"
HB CONSTRUCCION E INGENIERIA ASOCIADOS SAC,HB CONSTRUCCION E INGENIERIA ASOCIADOS SAC,exact,HB CONSTRUCCION E INGENIERIA ASOCIADOS SAC,20600319613,"[('HB CONSTRUCCION E INGENIERIA ASOCIADOS SAC', '20600319613')]"
HERCO CONSTRUCTORES SRL,HERCO CONSTRUCTORES SRL,exact,HERCO CONSTRUCTORES SRL,20539281454,"[('HERCO CONSTRUCTORES SRL', '20539281454')]"
HORMIX,HORMIX,partial,HORMIX S.A.C.,20546482511,"[('HORMIX S.A.C.', '20546482511'), ('HORMIX S.A.C.', '20546482511')]"
IFLUTECH S.A.C.,IFLUTECH SAC,exact,IFLUTECH S.A.C.,20508425091,"[('IFLUTECH S.A.C.', '20508425091')]"
INGENIERIA CONSTRUCCION Y SERVICIOS CHUQUI PERU SAC,INGENIERIA CONSTRUCCION Y SERVICIOS CHUQUI PERU SAC,none,,,[]
INGENIERIA PROYECTOS Y ELECTRICIDAD S.A.C. - INPROELEC S.A.C.,INGENIERIA PROYECTOS Y ELECTRICIDAD SAC INPROELEC SAC,partial,INGENIERIA PROYECTOS Y ELECTRICIDAD S.A.C. ,20602586571,"[('INGENIERIA PROYECTOS Y ELECTRICIDAD S.A.C. ', '20602586571')]"
INGENIERIA Y CONSTRUCCION MONTE GRANDE S.A.C.,INGENIERIA Y CONSTRUCCION MONTE GRANDE SAC,exact,INGENIERIA Y CONSTRUCCION MONTE GRANDE S.A.C.,20602939571,"[('INGENIERIA Y CONSTRUCCION MONTE GRANDE S.A.C.', '20602939571')]"
INTESEL,INTESEL,partial,W&L INTESEL PERU SAC,20518070577,"[('W&L INTESEL PERU SAC', '20518070577')]"
INVERSIONES RYSGRISCEL,INVERSIONES RYSGRISCEL,none,,,[]
INVERSIONES URMA S.A.C.,INVERSIONES URMA SAC,none,,,[]
IPC  SUCURSAL DEL PERU,IPC SUCURSAL DEL PERU,exact,IPC SUCURSAL DEL PERU,20606454229,"[('IPC SUCURSAL DEL PERU', '20606454229'), ('IPC SUCURSAL DEL PERU', '20606454229'), ('IPC SUCURSAL DEL PERU', '20606454229'), ('IPC SUCURSAL DEL PERU', '20606454229')]"
IPC BASE NAVAL CALLAO,IPC BASE NAVAL CALLAO,none,,,[]
IPC CALLAO,IPC CALLAO,none,,,[]
IPC NAVAL SAN BORJA,IPC NAVAL SAN BORJA,none,,,[]
IPC SAN BORJA,IPC SAN BORJA,none,,,[]
IPC SUCURSAL DEL PERU,IPC SUCURSAL DEL PERU,exact,IPC SUCURSAL DEL PERU,20606454229,"[('IPC SUCURSAL DEL PERU', '20606454229'), ('IPC SUCURSAL DEL PERU', '20606454229'), ('IPC SUCURSAL DEL PERU', '20606454229'), ('IPC SUCURSAL DEL PERU', '20606454229')]"
IPC-SAN BORJA,IPCSAN BORJA,none,,,[]
ISABEL RODRIGUEZ,ISABEL RODRIGUEZ,exact,Isabel Rodriguez,,"[('Isabel Rodriguez', '-')]"
ITAL GRES INDUSTRIAL SAC,ITAL GRES INDUSTRIAL SAC,exact,ITAL GRES INDUSTRIAL SAC,20255020278,"[('ITAL GRES INDUSTRIAL SAC', '20255020278')]"
JCB ESTRUCTURAS SAC,JCB ESTRUCTURAS SAC,exact,J.C.B ESTRUCTURAS SAC,20516259516,"[('J.C.B ESTRUCTURAS SAC', '20516259516'), ('JCB ESTRUCTURAS SAC', '20516259516'), ('JCB ESTRUCTURAS SAC', '20516259516')]"
JG3,JG3,partial,JG3 CONSTRUCCIONES S.A.C,20505212739,"[('JG3 CONSTRUCCIONES S.A.C', '20505212739'), ('JG3 CONSTRUCCIONES S.A.C', '20505212739'), ('JG3 CONSTRUCCIONES S.A.C', '20505212739'), ('JG3 CONSTRUCCIONES S.A.C', '20505212739'), ('JG3 CONSTRUCCIONES S.A.C', '20505212739')]"
JG3 CONSTRUCCIONES SAC,JG3 CONSTRUCCIONES SAC,exact,JG3 CONSTRUCCIONES S.A.C,20505212739,"[('JG3 CONSTRUCCIONES S.A.C', '20505212739'), ('JG3 CONSTRUCCIONES S.A.C', '20505212739'), ('JG3 CONSTRUCCIONES S.A.C', '20505212739'), ('JG3 CONSTRUCCIONES S.A.C', '20505212739'), ('JG3 CONSTRUCCIONES S.A.C', '20505212739')]"
JINSHI,JINSHI,none,,,[]
JONATHAN VEGA,JONATHAN VEGA,none,,,[]
JRC INGENIEROS Y CONSULTORES SAC,JRC INGENIEROS Y CONSULTORES SAC,exact,JRC INGENIEROS Y CONSULTORES SAC,20612648906,"[('JRC INGENIEROS Y CONSULTORES SAC', '20612648906')]"
JYH CONTEL SAC,JYH CONTEL SAC,exact,JYH CONTEL SAC,20522017214,"[('JYH CONTEL SAC', '20522017214')]"
Jose Carlos Mas Gusukuma,JOSE CARLOS MAS GUSUKUMA,exact,Jose Carlos Mas Gusukuma,,"[('Jose Carlos Mas Gusukuma', '-')]"
KEDA PERU,KEDA PERU,exact,KEDA PERU,20610384049,"[('KEDA PERU', '20610384049')]"
KIBE CONSTRUCCIONES,KIBE CONSTRUCCIONES,partial,KIBE CONSTRUCCIONES GENERALES SAC,20488071603,"[('KIBE CONSTRUCCIONES GENERALES SAC', '20488071603')]"
KING HOLDING SAC,KING HOLDING SAC,exact,KING HOLDING S.A.C.,20609129311,"[('KING HOLDING S.A.C.', '20609129311')]"
L.O.&G.C. CONTRATISTAS GENERALES EIRL,LOGC CONTRATISTAS GENERALES EIRL,exact,L.O.&G.C. CONTRATISTAS GENERALES EIRL,20607634913,"[('L.O.&G.C. CONTRATISTAS GENERALES EIRL', '20607634913'), ('L.O.&G.C. CONTRATISTAS GENERALES EIRL', '20607634913'), ('L.O.&G.C. CONTRATISTAS GENERALES EIRL', '20607634913'), ('L.O.&G.C. CONTRATISTAS GENERALES EIRL', '20607634913')]"
LAC ING. PROYECTOS Y CONSTRUCCIàN SAC,LAC ING PROYECTOS Y CONSTRUCCION SAC,none,,,[]
LAMAR,LAMAR,partial,SERVICIOS GENERALES LAMARC E.I.R.L.,20601455456,"[('SERVICIOS GENERALES LAMARC E.I.R.L.', '20601455456'), ('CONSORCIO LAMAR S.A.C.', '20554579567'), ('CONSORCIO LAMAR S.A.C.', '20554579567'), ('CONSORCIO LAMAR S.A.C.', '20554579567')]"
LUIS PROA¥O TATAJE,LUIS PROANO TATAJE,none,,,[]
MADACAM,MADACAM,none,,,[]
MAGNUM FIRE SAC,MAGNUM FIRE SAC,exact,MAGNUM FIRE SAC,20556868582,"[('MAGNUM FIRE SAC', '20556868582')]"
MARVIN ESPIRITU,MARVIN ESPIRITU,none,,,[]
MAS ERRAZURIZ DEL PERU,MAS ERRAZURIZ DEL PERU,partial,MAS ERRAZURIZ DEL PERU S.A.C.,20418826119,"[('MAS ERRAZURIZ DEL PERU S.A.C.', '20418826119ÿ'), ('MAS ERRAZURIZ DEL PERU S.A.C.', '20418826119ÿ')]"
